State,loan_status,frequency
AK,0,0.814393939394
AK,3,0.128787878788
AK,1,0.0492424242424
AK,2,0.00757575757576
AL,0,0.775891341256
AL,3,0.164685908319
AL,1,0.0568760611205
AL,2,0.0025466893039
AR,0,0.786549707602
AR,3,0.159356725146
AR,1,0.0497076023392
AR,2,0.00438596491228
AZ,0,0.797932330827
AZ,3,0.163063909774
AZ,1,0.0375939849624
AZ,2,0.00140977443609
CA,0,0.808873720137
CA,3,0.159271899886
CA,1,0.0302975869708
CA,2,0.00155679300641
CO,0,0.817007534984
CO,3,0.13670613563
CO,1,0.0435952637244
CO,2,0.002691065662
CT,0,0.801667659321
CT,3,0.141751042287
CT,1,0.0541989279333
CT,2,0.00238237045861
DC,0,0.906329113924
DC,3,0.0708860759494
DC,1,0.0227848101266
DE,0,0.81568627451
DE,3,0.149019607843
DE,1,0.0352941176471
FL,0,0.775944726452
FL,3,0.180767061478
FL,1,0.0420191765369
FL,2,0.00126903553299
GA,0,0.791719745223
GA,3,0.161464968153
GA,1,0.0452229299363
GA,2,0.0015923566879
HI,0,0.789473684211
HI,3,0.17004048583
HI,1,0.0404858299595
IA,0,0.833333333333
IA,3,0.166666666667
ID,0,0.888888888889
ID,3,0.111111111111
IL,0,0.818230707179
IL,3,0.132562516806
IL,1,0.0475934390965
IL,2,0.00161333691853
IN,0,0.555555555556
IN,3,0.355555555556
IN,1,0.0888888888889
KS,0,0.808510638298
KS,3,0.122653316646
KS,1,0.0650813516896
KS,2,0.00375469336671
KY,0,0.793145654835
KY,3,0.141982864137
KY,1,0.062423500612
KY,2,0.00244798041616
LA,0,0.808968609865
LA,3,0.147085201794
LA,1,0.0421524663677
LA,2,0.00179372197309
MA,0,0.809608540925
MA,3,0.137366548043
MA,1,0.0505338078292
MA,2,0.00249110320285
MD,0,0.793671434764
MD,3,0.160381447768
MD,1,0.0442132639792
MD,2,0.00173385348938
ME,0,1.0
MI,0,0.786533665835
MI,3,0.165087281796
MI,1,0.0468827930175
MI,2,0.00149625935162
MN,0,0.806766428107
MN,3,0.14313597918
MN,1,0.0481457384515
MN,2,0.00195185426155
MO,0,0.776741293532
MO,3,0.17039800995
MO,1,0.0516169154229
MO,2,0.00124378109453
MS,0,0.777777777778
MS,3,0.222222222222
MT,0,0.80694980695
MT,3,0.15444015444
MT,1,0.03861003861
NC,0,0.786925941249
NC,3,0.154737277617
NC,1,0.0570955730244
NC,2,0.00124120810923
NE,3,0.583333333333
NE,0,0.416666666667
NH,0,0.823798627002
NH,3,0.12356979405
NH,1,0.0480549199085
NH,2,0.0045766590389
NJ,0,0.789332028383
NJ,3,0.163200391485
NJ,1,0.0462441888916
NJ,2,0.00122339124052
NM,0,0.788819875776
NM,3,0.165631469979
NM,1,0.0434782608696
NM,2,0.00207039337474
NV,0,0.758908263836
NV,3,0.197877179682
NV,1,0.0416982562547
NV,2,0.00151630022745
NY,0,0.800218221495
NY,3,0.154282596836
NY,1,0.0423349699945
NY,2,0.00316421167485
OH,0,0.802152030545
OH,3,0.141617493926
OH,1,0.0544949670253
OH,2,0.00173550850399
OK,0,0.800262812089
OK,3,0.145860709593
OK,1,0.0499342969777
OK,2,0.00394218134034
OR,0,0.802120141343
OR,3,0.151943462898
OR,1,0.0459363957597
PA,0,0.805710921401
PA,3,0.140418015896
PA,1,0.0523991757433
PA,2,0.00147188695908
RI,0,0.788079470199
RI,3,0.174392935982
RI,1,0.037527593819
SC,0,0.784821428571
SC,3,0.150892857143
SC,1,0.0633928571429
SC,2,0.000892857142857
SD,0,0.844919786096
SD,3,0.139037433155
SD,1,0.0160427807487
TN,0,0.8125
TN,3,0.1875
TX,0,0.828690807799
TX,3,0.130640668524
TX,1,0.0388579387187
TX,2,0.00181058495822
UT,0,0.807866868381
UT,3,0.161875945537
UT,1,0.0272314674735
UT,2,0.00302571860817
VA,0,0.807023093958
VA,3,0.143625434989
VA,1,0.0471369819677
VA,2,0.00221448908573
VT,0,0.787234042553
VT,3,0.164893617021
VT,1,0.0478723404255
WA,0,0.801606046292
WA,3,0.160604629192
WA,1,0.0363722248465
WA,2,0.00141709966934
WI,0,0.793777777778
WI,3,0.148444444444
WI,1,0.0568888888889
WI,2,0.000888888888889
WV,0,0.845965770171
WV,3,0.112469437653
WV,1,0.041564792176
WY,0,0.867924528302
WY,3,0.0801886792453
WY,1,0.0518867924528
