State,def_rate_2010,def_rate_2011,def_rate_2012
AK,0.8,0.619047619048,0.564102564103
AL,0.761904761905,0.597826086957,0.429378531073
AR,0.769230769231,0.617021276596,0.402597402597
AZ,0.813333333333,0.621621621622,0.513089005236
CA,0.742342342342,0.619281045752,0.478386167147
CO,0.797297297297,0.631205673759,0.426229508197
CT,0.796875,0.586419753086,0.413978494624
DC,1.0,0.787878787879,0.619047619048
DE,0.75,0.833333333333,0.448275862069
FL,0.747826086957,0.551282051282,0.427503736921
GA,0.832167832168,0.635687732342,0.404761904762
HI,0.705882352941,0.571428571429,0.480769230769
IL,0.830882352941,0.59375,0.447368421053
KS,0.833333333333,0.585714285714,0.473684210526
KY,0.826086956522,0.517647058824,0.459183673469
LA,0.613636363636,0.741176470588,0.490566037736
MA,0.785714285714,0.605504587156,0.397727272727
MD,0.757009345794,0.606334841629,0.470588235294
MI,0.795454545455,0.644295302013,0.416666666667
MN,0.678571428571,0.660194174757,0.407185628743
MO,0.676056338028,0.659090909091,0.39898989899
MT,1.0,0.730769230769,0.518518518519
NC,0.75,0.641975308642,0.431547619048
NH,0.857142857143,0.588235294118,0.428571428571
NJ,0.75,0.587431693989,0.447368421053
NM,0.619047619048,0.6,0.471698113208
NV,0.722222222222,0.558333333333,0.481203007519
NY,0.795986622074,0.599706744868,0.42082890542
OH,0.85046728972,0.58844765343,0.425655976676
OK,0.72,0.633802816901,0.428571428571
OR,0.848484848485,0.518518518519,0.472727272727
PA,0.767741935484,0.606896551724,0.415584415584
RI,0.75,0.65625,0.358974358974
SC,0.8,0.628571428571,0.372262773723
SD,0.5,0.571428571429,0.769230769231
TX,0.81308411215,0.651639344262,0.478911564626
UT,0.76,0.6,0.440677966102
VA,0.821138211382,0.617100371747,0.439678284182
VT,1.0,0.625,0.46875
WA,0.776119402985,0.555555555556,0.464454976303
WI,0.734693877551,0.666666666667,0.392307692308
WV,0.888888888889,0.702702702703,0.454545454545
WY,1.0,0.615384615385,0.5
