rf_featimp,sbs,rf_featimp
0,amnt_request,amnt_request
1,RENT,RENT
2,inq_last_6mths,inq_last_6mths
3,open_acc,open_acc
4,diff_earliest_app_date,diff_earliest_app_date
5,sub_grade_encoded,sub_grade_encoded
6,public_record_ind,public_record_ind
7,debt_consolidation,debt_consolidation
8,magnitude_ann_inc_to_median,magnitude_ann_inc_to_median
9,,revol_util
10,,work_prop
11,,revol_bal
12,,median_est_income_hh
13,,dti
14,,annual_inc
15,,int_rate
16,,Risk_Score
17,,pub_rec
18,,small_business
19,,delinq_2yrs
