,roc_auc,predicted_default,actual_default,observed_default
voting,0.571432108446,0.00186900008495,0.148330643106,0.148140267257
lrl1,0.569192596973,0.50063715912,0.148330643106,0.122065328343
lrl2,0.569189719001,0.50063715912,0.148330643106,0.122065328343
adaboost,0.569043949405,0.501571659162,0.148330643106,0.121868075678
et,0.566885770968,0.470478294113,0.148330643106,0.12586234558
svm,0.56195032179,0.616430209838,0.148330643106,0.11650055371
rf,0.5609384257,0.620508028205,0.148330643106,0.12155809268
svm_C1,0.559949446258,0.617279755331,0.148330643106,0.116759156493
dtbag,0.546214789487,0.35281624331,0.148330643106,0.135206090837
dt,0.531470436166,0.480630362756,0.148330643106,0.134129385786
